Titulo,Codigo Postal,Precio,Recamaras,Banos,Estacionamientos,NoPisos,Edad,Area Terreno,Area Construida,Tamaño Jardin
 Colonia Providencia 2a Secc,44630,5000000.0,4.0,3.0,3.0,0.0,210.0,318.0,,
 Colonia Arandas,44720,610000.0,3.0,2.0,1.0,1.0,0.0,132.0,132.0,
 Colonia Jardines de Guadalupe,44740,2200000.0,4.0,3.0,1.0,2.0,0.0,195.0,,
 Colonia Obrera Centro,44140,17800000.0,0.0,566.0,466.0,,,,,
 Colonia Joaquín Aarón,44768,725800.0,3.0,2.0,1.0,2.0,0.0,132.0,132.0,
 Colonia Colinas de San Javier,44660,43900000.0,4.0,4.0,8.0,29.0,1018.0,783.0,,
 Colonia Jardines Del Sur,44950,650000.0,4.0,2.0,2.0,0.0,270.0,,,
 Colonia Providencia 1a Secc,44630,10900000.0,4.0,4.0,2.0,34.0,302.0,371.0,,
 Colonia Jardines Alcalde,44298,570000.0,4.0,3.0,3.0,3.0,0.0,205.0,258.0,
 Colonia Guadalajara Centro,44100,1235000.0,4.0,3.0,2.0,0.0,350.0,,,
 Colonia Los Arrayanes,44766,490000.0,2.0,1.0,2.0,2.0,24.0,100.0,95.0,
 Colonia Guadalajara Centro,44100,6000000.0,2.0,3.0,3.0,0.0,200.0,350.0,,
 Colonia Atlas Poniente,44870,891075.0,3.0,2.0,1.0,2.0,0.0,180.0,150.0,
 Colonia Del Sur,44920,2950000.0,3.0,2.0,2.0,2.0,0.0,,,
 Colonia Jardines del Country,44210,3950000.0,3.0,2.0,1.0,1.0,40.0,120.0,130.0,4.0
 Colonia El Rosario,44890,477000.0,2.0,2.0,2.0,15.0,60.0,120.0,,
 Colonia Rincón Del Bosque,44530,5190000.0,4.0,3.0,4.0,2.0,0.0,200.0,140.0,
 Colonia Providencia 2a Secc,44630,9700000.0,3.0,2.0,2.0,0.0,160.0,198.0,,
 Colonia Higuerillas 2a Secc,44470,810000.0,3.0,2.0,1.0,2.0,16.0,115.0,195.0,
 Colonia Rojas Ladrón de Guevara,44650,9200000.0,3.0,2.0,2.0,0.0,276.0,209.0,,
 Colonia Jardines del Bosque Norte,44520,7500000.0,4.0,3.0,2.0,3.0,20.0,300.0,400.0,80.0
 Colonia Fraccionamiento Residencial Victoria,44560,12900000.0,4.0,4.0,4.0,432.0,455.0,,,
 Colonia Guadalajara Centro,44100,8300000.0,12.0,4.0,3.0,0.0,204.0,370.0,,
 Colonia Jardines de San José,44950,1672155.0,3.0,1.0,1.0,2.0,17.0,207.0,1.0,
 Colonia Emiliano Zapata,44980,2300000.0,5.0,1.0,2.0,2.0,1.0,90.0,155.0,
 Colonia Jardines del Bosque Norte,44520,7590000.0,4.0,3.0,1.0,44.0,328.0,238.0,,
 Colonia Ladrón de Guevara,44600,8450000.0,5.0,3.0,3.0,0.0,314.0,326.0,,
 Colonia Providencia 4a Secc,44639,12850000.0,4.0,3.0,3.0,3.0,0.0,276.0,370.0,15.0
 Colonia Vallarta Norte,44690,10990000.0,4.0,5.0,3.0,3.0,0.0,148.0,394.0,
 Colonia Vallarta Norte,44690,10990000.0,4.0,5.0,3.0,3.0,0.0,148.0,394.0,
 Colonia Real,44400,12500000.0,3.0,3.0,2.0,0.0,300.0,300.0,,
 Guadalajara,44210,4750000.0,5.0,3.0,0.0,130.0,211.0,,,
 Colonia Ladrón de Guevara,44600,26000000.0,8.0,8.0,12.0,0.0,637.0,768.0,,
 Colonia Arcos,44130,8500000.0,5.0,6.0,3.0,2.0,12.0,276.0,338.0,
 Colonia Providencia 4a Secc,44639,680000.0,4.0,3.0,2.0,1.0,0.0,290.0,330.0,
 Colonia San Andrés,44810,3785400.0,5.0,5.0,2.0,2.0,2.0,242.0,435.0,
 Colonia Arcos Sur,44500,10500000.0,5.0,4.0,3.0,2.0,0.0,294.0,320.0,
 Colonia San Vicente,44330,561191.0,3.0,1.0,2.0,0.0,150.0,100.0,,
 Colonia Guadalajara Oriente,44700,736551.0,3.0,3.0,2.0,2.0,20.0,105.0,255.0,
 Colonia Fraccionamiento Residencial Victoria,44560,10500000.0,4.0,3.0,0.0,335.0,354.0,,,
 Colonia Monraz,44670,18890000.0,3.0,4.0,6.0,15.0,556.0,400.0,,
 Colonia Jardines del Country,44210,4950000.0,4.0,3.0,1.0,0.0,160.0,276.0,,
 Colonia Providencia 1a Secc,44630,9890000.0,3.0,3.0,3.0,35.0,350.0,250.0,,
 Colonia San Juan de Dios,44360,1900000.0,1.0,1.0,45.0,63.0,119.0,,,
 Colonia El Rosario,44890,761000.0,5.0,3.0,2.0,2.0,0.0,197.0,280.0,7.0
 Colonia Panorámica Huentitán,44259,8500000.0,5.0,5.0,4.0,14.0,178.0,698.0,,
 Colonia Guadalajara Centro,44100,35000000.0,24.0,24.0,2.0,1.0,738.0,1319.0,,
 Colonia Lomas de Providencia,44647,9450000.0,3.0,3.0,2.0,2.0,35.0,288.0,355.0,
 Colonia Postes Cuates (Federalismo),44350,2127000.0,4.0,2.0,2.0,0.0,,,,
 Colonia Obrera,44420,650000.0,4.0,2.0,2.0,2.0,13.0,150.0,310.0,
 Guadalajara,44898,6000000.0,4.0,1.0,1.0,0.0,199.0,238.0,,
 Colonia Providencia 1a Secc,44630,12000000.0,3.0,3.0,2.0,1.0,285.0,285.0,,
 Colonia Lomas Del Paradero,44840,1990000.0,2.0,1.0,1.0,0.0,70.0,140.0,,
 Colonia Circunvalación Belisario,44330,4900000.0,6.0,3.0,1.0,44.0,412.0,330.0,,
 Colonia Independencia,44290,490000.0,2.0,1.0,3.0,2.0,24.0,168.0,125.0,58.0
 Colonia Talpita Oriente,44719,2300000.0,3.0,2.0,2.0,30.0,107.0,184.0,,
 Colonia Ayuntamiento,44620,6490000.0,4.0,2.0,51.0,200.0,255.0,,,
 Colonia Colomos Providencia,44660,5800000.0,3.0,4.0,2.0,30.0,96.0,140.0,,
 Colonia Jardines de La Paz,44860,770000.0,3.0,2.0,1.0,2.0,15.0,143.0,180.0,
 Colonia 18 de Marzo,44960,823900.0,2.0,1.0,1.0,1.0,15.0,100.0,90.0,
 Colonia Magaña,44800,370000.0,4.0,3.0,1.0,2.0,0.0,118.0,180.0,
 Colonia Bosques de La Victoria,44540,510000.0,3.0,2.0,2.0,2.0,0.0,140.0,300.0,
 Colonia Jardines del Country,44210,490000.0,2.0,1.0,1.0,2.0,24.0,165.0,140.0,
 Colonia Lomas del Valle,44670,29900000.0,4.0,4.0,3.0,38.0,1175.0,450.0,,
 Colonia Ladrón de Guevara,44600,4500000.0,2.0,1.0,1.0,45.0,148.0,124.0,,
 Villaseñor,44600,2800000.0,4.0,3.0,2.0,3.0,0.0,91.0,157.0,
 Colonia Residencial San Elias,44240,1186000.0,2.0,1.0,1.0,0.0,100.0,100.0,,
 Colonia Miguel Hidalgo,44760,632000.0,3.0,2.0,1.0,0.0,130.0,,,
 Colonia Lomas del Valle,44670,29900000.0,4.0,4.0,3.0,38.0,1175.0,450.0,,
 Colonia Jardines de Atemajac,44227,760000.0,3.0,3.0,2.0,2.0,6.0,100.0,100.0,
 Colonia San Miguel de Huentitán El Alto 3a Secc,44390,649000.0,3.0,1.0,1.0,0.0,71.0,,,
 Colonia Vallarta Poniente,44110,9800000.0,3.0,3.0,6.0,2.0,58.0,424.0,387.0,
 Colonia Bosques de La Victoria,44540,550000.0,4.0,3.0,2.0,2.0,15.0,325.0,210.0,
 Colonia Circunvalación Belisario,44330,2850000.0,3.0,2.0,1.0,0.0,132.0,195.0,,
 Colonia Blanco y Cuellar 1ra.,44730,4900000.0,6.0,3.0,1.0,54.0,412.0,396.0,,
 Colonia Huentitán El Bajo,44250,2700000.0,6.0,3.0,2.0,1.0,1.0,304.0,190.0,
 Colonia Santa María,44350,3361800.0,3.0,2.0,1.0,2.0,20.0,300.0,304.0,
 Colonia Lomas del Valle,44670,54990000.0,5.0,6.0,5.0,0.0,1056.0,1300.0,,
 Colonia Bosques de La Victoria,44540,550000.0,3.0,2.0,2.0,1.0,1.0,160.0,210.0,
 Colonia Bosques de La Victoria,44540,590000.0,5.0,3.0,3.0,2.0,5.0,227.0,260.0,100.0
 Colonia Insurgentes La Presa,44820,1236000.0,3.0,2.0,0.0,430.0,609.0,,,
 Colonia Santa Elena de La Cruz,44230,660000.0,3.0,2.0,2.0,2.0,10.0,57.0,57.0,
 Colonia Italia Providencia,44648,6600000.0,5.0,4.0,3.0,31.0,185.0,263.0,,
 Colonia Joaquín Aarón,44768,725800.0,3.0,2.0,1.0,2.0,1.0,132.0,132.0,
 Guadalajara,44540,7750000.0,4.0,4.0,2.0,14.0,200.0,300.0,,
 Colonia Fraccionamiento Residencial Victoria,44560,14500000.0,5.0,3.0,5.0,34.0,667.0,662.0,,
 Colonia Jardines de La Paz Norte,44860,13700000.0,4.0,4.0,4.0,3.0,0.0,438.0,615.0,
 Guadalajara,44630,9200000.0,6.0,3.0,1.0,0.0,180.0,276.0,,
 Colonia Independencia,44290,5800000.0,4.0,3.0,2.0,0.0,256.0,264.0,,
 Colonia Lomas de Providencia,44647,8396000.0,3.0,2.0,2.0,44.0,232.0,338.0,,
 Colonia Joaquín Aarón,44768,885900.0,3.0,2.0,1.0,0.0,240.0,,,
 Guadalajara,44700,3000000.0,4.0,2.0,0.0,,,,,
 Colonia Jardines del Bosque Norte,44520,24500000.0,4.0,4.0,6.0,0.0,880.0,400.0,,
 Colonia Jardines del Country,44210,6500000.0,5.0,3.0,1.0,0.0,222.0,244.0,,
 Colonia Americana,44160,16900000.0,10.0,8.0,6.0,54.0,347.0,627.0,,
 Colonia Americana,44160,16900000.0,10.0,8.0,6.0,54.0,347.0,627.0,,
 Guadalajara,44660,14500000.0,3.0,3.0,2.0,0.0,400.0,250.0,,
 Colonia Lomas del Valle,44670,6500000.0,3.0,2.0,2.0,3.0,30.0,123.0,258.0,5.0
 Colonia Independencia,44290,5600000.0,6.0,3.0,3.0,0.0,192.0,290.0,,
 Guadalajara,44520,8990000.0,4.0,4.0,3.0,0.0,281.0,360.0,,
 Colonia Providencia 4a Secc,44639,7350000.0,4.0,2.0,2.0,2.0,30.0,200.0,372.0,25.0
 Colonia Jardines de los Arcos,44500,815000.0,3.0,2.0,3.0,2.0,15.0,294.0,389.0,
 Colonia Monraz,44670,17500000.0,4.0,4.0,4.0,9.0,439.0,580.0,,
 Colonia Americana,44160,9800000.0,4.0,2.0,2.0,0.0,370.0,338.0,,
 Colonia Independencia,44290,4550000.0,4.0,3.0,2.0,2.0,0.0,230.0,340.0,
