Titulo,Codigo Postal,Precio,Recamaras,Banos,Estacionamientos,NoPisos,Edad,Area Terreno,Area Construida,Tamaño Jardin
 Colonia Las Conchas,44460,1760000.0,3.0,1.0,2.0,30.0,105.0,200.0,,
 Colonia Postes Cuates (Federalismo),44350,4515000.0,4.0,6.0,3.0,3.0,18.0,140.0,402.0,
 Colonia Guadalajara Centro,44100,8100000.0,12.0,0.0,666.0,804.0,,,,
 Colonia Villas Del Nilo,44824,1450000.0,2.0,1.0,2.0,0.0,100.0,,,
 Colonia Villas Del Nilo,44824,1295000.0,3.0,2.0,2.0,1.0,0.0,110.0,110.0,
 Colonia Jardines de La Paz,44860,8990000.0,9.0,3.0,1.0,0.0,321.0,520.0,,
 Colonia Rojas Ladrón de Guevara,44650,14000000.0,10.0,10.0,5.0,40.0,379.0,641.0,,
 Colonia Jardines de San José,44950,2679500.0,3.0,2.0,1.0,2.0,0.0,104.0,158.0,
 Guadalajara,44520,11500000.0,4.0,3.0,2.0,42.0,550.0,560.0,,
 Colonia Providencia 2a Secc,44630,12800000.0,4.0,3.0,2.0,0.0,250.0,339.0,,
 Colonia Jardines del Nilo Sur,44860,357346.0,3.0,2.0,2.0,2.0,0.0,90.0,120.0,
 Colonia Balcones de Oblatos,44720,1850000.0,4.0,2.0,2.0,20.0,105.0,175.0,,
 Colonia Jardines de Guadalupe,44740,12700000.0,3.0,4.0,6.0,2.0,40.0,494.0,398.0,
 Colonia Residencial Chapalita,44500,12500000.0,4.0,5.0,3.0,2.0,52.0,350.0,450.0,
 Colonia Moderna,44190,3100000.0,1.0,1.0,1.0,1.0,0.0,56.0,56.0,
 Colonia Jardines de La Cruz 1a. Sección,44950,,4.0,3.0,2.0,0.0,137.0,260.0,,
 Colonia Monumental,44320,590000.0,3.0,3.0,2.0,2.0,14.0,200.0,250.0,
 Colonia Providencia 2a Secc,44630,10135000.0,4.0,2.0,2.0,1.0,50.0,300.0,308.0,
 Colonia Arcos Vallarta,44130,7100000.0,0.0,266.0,355.0,,,,,
 Colonia Revolución,44400,3950000.0,5.0,3.0,2.0,2.0,40.0,283.0,341.0,
 Guadalajara,44650,7680000000.0,11.0,4.0,0.0,226.0,350.0,,,
 Colonia Libertad,44750,712000.0,4.0,4.0,2.0,2.0,0.0,245.0,346.0,
 Colonia Antigua Penal de Oblatos,44730,800000.0,3.0,2.0,2.0,2.0,0.0,120.0,180.0,
 Colonia Colonial Independencia,44258,366250.0,3.0,2.0,2.0,2.0,0.0,150.0,230.0,
 Colonia Colinas de San Javier,44660,887990.0,6.0,5.0,4.0,2.0,10.0,1850.0,,
 Colonia Colinas de San Javier,44660,887990.0,6.0,5.0,4.0,2.0,10.0,1850.0,,
 Colonia Huentitán El Bajo,44250,550000.0,3.0,2.0,1.0,2.0,0.0,110.0,85.0,
 Colonia Circunvalación Oblatos,44716,1751021.0,3.0,2.0,1.0,0.0,145.0,,,
 Colonia Jardines de La Cruz 2a. Sección,44950,3500000.0,4.0,4.0,3.0,2.0,30.0,175.0,213.0,
 Colonia Alcalde Barranquitas,44270,1323800.0,3.0,2.0,2.0,0.0,216.0,255.0,,
 Colonia Campo de Polo Chapalita,44500,18000000.0,6.0,3.0,7.0,2.0,6.0,539.0,433.0,
 Colonia Campo de Polo Chapalita,44500,18000000.0,6.0,3.0,7.0,2.0,6.0,539.0,433.0,
 Colonia Jardines de Guadalupe,44740,8900000.0,4.0,3.0,2.0,3.0,7.0,300.0,421.0,
 Colonia Oblatos,44700,2980000.0,5.0,2.0,2.0,2.0,20.0,161.0,200.0,
 Colonia Colinas de San Javier,44660,70000000.0,4.0,3.0,7.0,2.0,40.0,1000.0,826.0,
 Colonia Jardines del Bosque Centro,44520,10300000.0,4.0,3.0,4.0,0.0,360.0,601.0,,
 Colonia La Florida,44790,690000.0,3.0,3.0,1.0,2.0,19.0,100.0,140.0,
 Colonia Colomos Providencia,44660,5800000.0,2.0,3.0,2.0,24.0,96.0,140.0,,
 Colonia Joaquín Aarón,44768,972000.0,3.0,2.0,1.0,2.0,0.0,110.0,180.0,
 Colonia Oblatos,44700,137667639.0,3.0,2.0,2.0,2.0,0.0,100.0,190.0,
 Colonia Chapalita,44500,5095743.0,4.0,4.0,2.0,1.0,0.0,195.0,270.0,
 Guadalajara,44360,2199000.0,2.0,2.0,2.0,0.0,94.0,123.0,,
 Colonia Olímpica,44430,1321417.0,2.0,1.0,1.0,0.0,,,,
 Colonia Ciudad Universitaria,44840,3455000.0,4.0,3.0,2.0,0.0,107.0,153.0,,
 Colonia Los Arrayanes,44766,490000.0,3.0,2.0,1.0,1.0,0.0,90.0,150.0,
 Colonia Alcalde Barranquitas,44270,5650000.0,12.0,8.0,1.0,0.0,279.0,576.0,,
 Colonia San Andrés,44810,2200000.0,2.0,2.0,0.0,90.0,,,,
 Colonia Moderna,44190,6550000.0,4.0,3.0,5.0,0.0,240.0,295.0,,
 Colonia Blanco y Cuellar 1ra.,44730,749000.0,3.0,3.0,2.0,1.0,0.0,200.0,250.0,
 Colonia San Juan de Dios,44360,2300000.0,5.0,1.0,44.0,93.0,170.0,,,
 Colonia Guadalajara Centro,44100,4600000.0,4.0,3.0,2.0,1.0,200.0,168.0,182.0,
 Colonia Lomas de Independencia,44240,507100.0,3.0,2.0,2.0,2.0,10.0,100.0,120.0,
 Guadalajara,44960,5350000.0,4.0,3.0,2.0,0.0,129.0,210.0,,
 Colonia Jardines del Bosque Norte,44520,10295000.0,4.0,3.0,6.0,2.0,35.0,505.0,425.0,
 Colonia Ladrón de Guevara,44600,9300000.0,8.0,3.0,2.0,0.0,201.0,252.0,,
 Guadalajara,44670,18000000.0,4.0,4.0,3.0,0.0,249.0,510.0,,
 Colonia Esperanza,44300,1650000.0,2.0,0.0,,,,,,
 Colonia Providencia 2a Secc,44630,6800000.0,3.0,4.0,2.0,1.0,0.0,230.0,200.0,
 Colonia Italia Providencia,44648,19500000.0,5.0,5.0,2.0,31.0,500.0,480.0,,
 Colonia Lomas de Independencia,44240,1656000.0,3.0,1.0,1.0,2.0,10.0,89.0,90.0,
 Colonia San Marcos Poniente,44330,3500000.0,4.0,3.0,1.0,2.0,0.0,129.0,273.0,
 Colonia Santa Elena de La Cruz,44230,2400000.0,3.0,2.0,2.0,2.0,30.0,151.0,15.0,
 Colonia Americana,44160,3520352.0,2.0,2.0,1.0,0.0,51.0,,,
 Colonia Postes Cuates (Federalismo),44350,3504000.0,3.0,2.0,0.0,300.0,,,,
 Colonia San José Río Verde 1a. Sección,44726,2980000.0,4.0,3.0,2.0,0.0,155.0,231.0,,
 Colonia División del Norte,44230,2550000.0,4.0,2.0,1.0,2.0,34.0,168.0,235.0,
 Colonia Jardines de La Cruz 1a. Sección,44950,490000.0,4.0,2.0,2.0,1.0,0.0,175.0,350.0,
 Colonia Santa María,44350,790000.0,4.0,4.0,1.0,1.0,0.0,302.0,604.0,
 Colonia Bosques de La Victoria,44540,6400000.0,4.0,3.0,6.0,0.0,300.0,321.0,,
 Colonia Alcalde Barranquitas,44270,3698994.0,4.0,2.0,0.0,200.0,,,,
 Colonia Lomas del Paraíso 3a. Sección,44250,490000.0,3.0,2.0,1.0,2.0,0.0,130.0,110.0,
 Colonia Ladrón de Guevara,44600,14800000.0,4.0,3.0,46.0,400.0,464.0,,,
 Colonia Oblatos,44700,2300000.0,4.0,2.0,2.0,0.0,85.0,100.0,,
 Colonia Lagos de Oriente 2a. Sección,44770,1750000.0,2.0,2.0,2.0,2.0,30.0,100.0,209.0,
 Colonia Jardines del Bosque Norte,44520,7534073.0,3.0,3.0,1.0,2.0,0.0,1.0,153.0,
 Colonia Revolución,44400,4350000.0,5.0,3.0,2.0,3.0,30.0,139.0,198.0,
 Colonia Oblatos,44700,2600000.0,4.0,3.0,1.0,0.0,140.0,180.0,,
 Colonia Analco,44450,3600000.0,4.0,2.0,3.0,3.0,20.0,360.0,360.0,
 Colonia Jardines del Bosque Norte,44520,6990000.0,4.0,5.0,1.0,40.0,273.0,191.0,,
 Colonia Lomas de Providencia,44647,640000.0,3.0,2.0,2.0,1.0,0.0,100.0,200.0,
 Colonia Country Club,44610,13333000.0,6.0,5.0,3.0,0.0,450.0,535.0,,
 Colonia Hernández Romo,44419,1800000.0,2.0,2.0,2.0,42.0,100.0,135.0,,
 Colonia Benito Juárez,44770,730000.0,4.0,4.0,2.0,2.0,0.0,120.0,220.0,
 Colonia Jardines El Sauz,44987,4500000.0,3.0,2.0,2.0,0.0,111.0,,,
 Colonia Santa Teresita,44600,3950000.0,5.0,4.0,2.0,0.0,158.0,171.0,,
 Colonia Alcalde Barranquitas,44270,5900000.0,4.0,2.0,3.0,0.0,313.0,201.0,,
 Colonia El Rocio,44977,999400.0,2.0,1.0,1.0,2.0,0.0,47.0,50.0,
 Colonia Insurgentes 3a Secc,44820,650000.0,4.0,2.0,2.0,2.0,0.0,180.0,250.0,
 Colonia Arcos Sur,44500,10500000.0,5.0,3.0,3.0,2.0,20.0,294.0,320.0,
 Colonia Del Fresno 1a. Sección,44900,1383202.0,2.0,5.0,2.0,2.0,0.0,150.0,248.0,
 Colonia Huentitán El Alto,44390,2173000.0,3.0,2.0,2.0,2.0,0.0,83.0,122.0,
 Colonia Villas Del Nilo,44824,620000.0,4.0,4.0,2.0,2.0,0.0,140.0,280.0,
 Colonia Colinas de San Javier,44660,30000000.0,3.0,5.0,6.0,2.0,41.0,1396.0,800.0,
 Colonia La Federacha,44300,500000.0,3.0,3.0,2.0,2.0,0.0,150.0,250.0,
 Colonia Insurgentes 1a Secc,44820,4500000.0,4.0,3.0,2.0,3.0,0.0,150.0,308.0,
 Colonia Esperanza,44300,1650000.0,1.0,1.0,1.0,1.0,0.0,150.0,204.0,
 Colonia Guadalupana Norte,44220,2500000.0,3.0,2.0,2.0,2.0,30.0,60.0,70.0,
 Colonia Libertad,44750,2900000.0,14.0,6.0,2.0,40.0,397.0,556.0,,
 Colonia Country Club,44610,19900000.0,3.0,3.0,4.0,2.0,14.0,290.0,500.0,
 Colonia Residencial San Elias,44240,1090226.0,3.0,2.0,1.0,2.0,0.0,86.0,104.0,
 Colonia Jardines de los Historiadores,44820,390000.0,3.0,1.0,2.0,1.0,0.0,120.0,,
 Colonia Colinas de La Normal,44270,7790000.0,5.0,3.0,2.0,36.0,216.0,362.0,,
 Colonia Santa Rosa,44700,1590000.0,3.0,2.0,2.0,2.0,25.0,150.0,200.0,
 Colonia Guadalajara Oriente,44700,918547.0,4.0,3.0,1.0,0.0,122.0,165.0,,
 Colonia Colomos Providencia,44660,14980000.0,4.0,3.0,3.0,0.0,302.0,420.0,,
 Colonia San Juan Bosco,44730,5000000.0,6.0,5.0,1.0,0.0,412.0,390.0,,
 Colonia La Federacha,44300,500000.0,3.0,3.0,2.0,2.0,0.0,150.0,250.0,
 Colonia Las Piedrotas,44828,2450000.0,3.0,3.0,2.0,3.0,0.0,90.0,154.0,
 Colonia Rojas Ladrón de Guevara,44650,7700000.0,5.0,3.0,0.0,288.0,290.0,,,
 Colonia Huentitán El Bajo,44250,550000.0,2.0,2.0,1.0,1.0,0.0,80.0,80.0,
 Colonia Americana,44160,9000000.0,4.0,2.0,1.0,2.0,1.0,203.0,287.0,
 Colonia 18 de Marzo,44960,860750.0,2.0,2.0,1.0,1.0,0.0,140.0,120.0,
 Colonia Ayuntamiento,44620,4935000.0,4.0,2.0,2.0,40.0,134.0,213.0,,
 Colonia Vallarta Poniente,44110,9470000.0,4.0,5.0,2.0,31.0,308.0,408.0,,
 Colonia Circunvalación Oblatos,44716,5375000.0,3.0,6.0,2.0,3.0,13.0,105.0,384.0,
 Colonia Jardines de los Arcos,44500,25950000.0,3.0,3.0,4.0,15.0,1045.0,644.0,,
 Colonia Jardines de Guadalupe,44740,958500.0,3.0,2.0,0.0,,,,,
 Colonia San Vicente,44330,1236369.0,2.0,1.0,0.0,80.0,,,,
 Colonia Guadalajara Oriente,44700,6100000.0,3.0,2.0,1.0,0.0,224.0,235.0,,
 Colonia Circunvalación Belisario,44330,2000000.0,2.0,2.0,1.0,2.0,41.0,111.0,170.0,
 Colonia Jardines del Bosque Norte,44520,6200000.0,4.0,4.0,1.0,2.0,34.0,200.0,309.0,
 Colonia Del Sur,44920,728000.0,3.0,3.0,2.0,1.0,0.0,115.0,220.0,
 Colonia Artesanos,44200,3500000.0,4.0,4.0,0.0,77.0,106.0,,,
 Colonia Parques de San Pedro,44825,531250.0,2.0,1.0,1.0,1.0,0.0,95.0,120.0,
 Colonia Jardines del Nilo Sur,44860,650000.0,4.0,2.0,2.0,2.0,0.0,188.0,250.0,
 Colonia Rinconada Santa Rita,44690,11500000.0,4.0,2.0,3.0,1.0,20.0,390.0,457.0,
 Colonia Insurgentes 1a Secc,44820,2962895.0,3.0,2.0,2.0,0.0,152.0,,,
 Colonia Arcos Vallarta,44130,8199000.0,4.0,4.0,4.0,2.0,10.0,260.0,260.0,
 Colonia Antigua Penal de Oblatos,44730,1610576.0,3.0,2.0,2.0,0.0,80.0,,,
 Colonia Universitaria,44840,2700000.0,4.0,2.0,1.0,2.0,0.0,100.0,119.0,
 Colonia Villaseñor,44600,958239.0,2.0,2.0,2.0,1.0,19.0,89.0,89.0,
 Colonia Arcos Vallarta,44130,20060000.0,5.0,8.0,4.0,3.0,0.0,469.0,695.0,
 Colonia Esperanza,44300,2200000.0,4.0,2.0,1.0,0.0,75.0,158.0,,
 Colonia San Rafael,44810,13500000.0,4.0,4.0,5.0,2.0,0.0,390.0,430.0,
 Colonia Americana,44160,8495000.0,5.0,2.0,2.0,2.0,1.0,295.0,248.0,
 Colonia Arandas,44720,395000.0,3.0,2.0,1.0,2.0,12.0,136.0,95.0,
 Colonia Monumental,44320,7000000.0,5.0,3.0,4.0,2.0,0.0,250.0,377.0,
 Colonia San Marcos Oriente,44330,2950000.0,7.0,3.0,2.0,40.0,148.0,259.0,,
 Colonia Jardines de La Cruz 2a. Sección,44950,2832122.0,4.0,2.0,2.0,0.0,200.0,,,
 Colonia Americana,44160,26990000.0,8.0,4.0,10.0,114.0,493.0,1003.0,,
 Colonia Providencia 2a Secc,44630,8290000.0,3.0,3.0,3.0,1.0,0.0,196.0,192.0,
 Colonia Jardines del Bosque Norte,44520,13000000.0,7.0,4.0,1.0,1.0,55.0,400.0,,
 Guadalajara,44840,17000000.0,4.0,4.0,5.0,0.0,1500.0,780.0,,
 Colonia Guadalajara Centro,44100,3000000.0,5.0,3.0,2.0,80.0,236.0,229.0,,
 Colonia Higuerillas 1a Secc,44470,9400000.0,3.0,4.0,3.0,1.0,0.0,300.0,,
 Colonia Villa Vicente Guerrero,44987,1574888.0,4.0,3.0,0.0,425.0,,,,
 Colonia Jardines del Country,44210,6500000.0,3.0,3.0,3.0,51.0,283.0,323.0,,
 Colonia Chapultepec Country,44620,6650000.0,4.0,3.0,3.0,0.0,168.0,154.0,,
 Colonia Jardines del Bosque Centro,44520,4150000.0,3.0,1.0,2.0,2.0,40.0,98.0,168.0,
 Colonia Lomas del Paraíso 1a. Sección,44250,1550000.0,3.0,2.0,1.0,2.0,13.0,60.0,120.0,
 Colonia Rojas Ladrón de Guevara,44650,8290000.0,5.0,3.0,3.0,2.0,0.0,200.0,315.0,
 Colonia Providencia 2a Secc,44630,12990000.0,4.0,4.0,2.0,2.0,30.0,359.0,380.0,
 Colonia Universitaria,44840,4990000.0,6.0,4.0,3.0,2.0,35.0,289.0,381.0,
 Colonia Residencial Chapalita,44500,6500000.0,3.0,2.0,2.0,34.0,176.0,205.0,,
 Colonia La Campesina,44769,2350000.0,2.0,1.0,1.0,1.0,0.0,120.0,145.0,
 Colonia Independencia,44290,4990000.0,5.0,3.0,2.0,0.0,156.0,252.0,,
 Colonia Jardines de La Cruz 1a. Sección,44950,612000.0,3.0,2.0,1.0,1.0,10.0,120.0,120.0,
 Colonia Joaquín Aarón,44768,725800.0,3.0,2.0,1.0,2.0,0.0,132.0,132.0,
 Colonia Santa Teresita,44600,3000000.0,2.0,2.0,1.0,1.0,5.0,50.0,97.0,
 Colonia Aldama Tetlán,44820,980000.0,4.0,4.0,2.0,2.0,0.0,206.0,288.0,
 Colonia San Antonio,44257,2932800.0,3.0,2.0,2.0,0.0,311.0,266.0,,
 Colonia Alcalde Barranquitas,44270,3750000.0,3.0,3.0,3.0,0.0,66.0,165.0,,
 Colonia Colomos Providencia,44660,7400000.0,4.0,2.0,2.0,0.0,180.0,240.0,,
 Colonia Santa Cecilia 3a. Sección,44700,1250000.0,2.0,1.0,0.0,75.0,,,,
 Colonia Bosques de La Victoria,44540,510000.0,3.0,3.0,2.0,1.0,0.0,140.0,300.0,
 Colonia El Sauz INFONAVIT,44987,870000.0,1.0,2.0,0.0,,,,,
 Colonia Ladrón de Guevara,44600,10500000.0,5.0,5.0,3.0,1.0,20.0,414.0,346.0,
 Guadalajara,44840,8200000.0,10.0,2.0,1.0,0.0,223.0,267.0,,
 Colonia Villaseñor,44600,5980000.0,5.0,2.0,2.0,50.0,126.0,189.0,,
 Colonia Alcalde Barranquitas,44270,2580000.0,3.0,2.0,3.0,25.0,71.0,133.0,,
 Colonia Los Arrayanes,44766,344000.0,3.0,2.0,2.0,0.0,100.0,,,
 Colonia San Eugenio,44724,2000000.0,5.0,2.0,1.0,2.0,5.0,91.0,130.0,
 Guadalajara,44817,3000000.0,3.0,1.0,1.0,0.0,176.0,261.0,,
 Colonia Bosques de La Victoria,44540,790000.0,5.0,4.0,3.0,2.0,0.0,295.0,350.0,
 Colonia Alcalde Barranquitas,44270,3300000.0,5.0,1.0,0.0,200.0,200.0,,,
 Colonia Palacio de Gobierno Del Estado de Jalisco,44009,4600000.0,1.0,1.0,1.0,20.0,176.0,220.0,,
 Colonia Americana,44160,12000000.0,6.0,2.0,5.0,2.0,80.0,558.0,483.0,
 Guadalajara,44670,12500000.0,3.0,3.0,3.0,25.0,310.0,395.0,,
 Colonia Guadalajara Centro,44100,3536100.0,3.0,2.0,2.0,0.0,250.0,355.0,,
 Colonia Blanco y Cuellar 1ra.,44730,4500000.0,8.0,3.0,3.0,2.0,32.0,509.0,475.0,
 Colonia Palacio de Gobierno Del Estado de Jalisco,44009,590000.0,4.0,3.0,2.0,2.0,0.0,200.0,350.0,
 Colonia Providencia 2a Secc,44630,18900000.0,3.0,4.0,3.0,17.0,300.0,450.0,,
 Colonia Agraria,44667,7670000.0,3.0,3.0,3.0,3.0,25.0,198.0,220.0,
 Colonia Guadalupana Sur,44220,4500000.0,5.0,2.0,2.0,0.0,175.0,322.0,,
 Colonia Independencia,44290,510000.0,3.0,2.0,2.0,2.0,0.0,180.0,180.0,
 Colonia Hormiguero,44810,2278000.0,3.0,3.0,1.0,24.0,119.0,192.0,,
 Colonia Jardines del Bosque Centro,44520,10750000.0,12.0,5.0,4.0,0.0,350.0,520.0,,
 Colonia Mezquitan Country,44260,4900000.0,4.0,4.0,1.0,1.0,49.0,131.0,240.0,
 Colonia El Mirador,44370,366250.0,3.0,1.0,2.0,2.0,0.0,150.0,230.0,
 Colonia Jardines del Bosque Norte,44520,11490000.0,5.0,6.0,1.0,412.0,461.0,,,
 Colonia Guadalupana Norte,44220,2003000.0,4.0,4.0,2.0,1.0,0.0,162.0,198.0,
 Colonia Agustín Yánez,44790,4850000.0,3.0,3.0,2.0,2.0,25.0,242.0,435.0,
 Colonia Jardines del Bosque Norte,44520,7490000.0,3.0,2.0,2.0,2.0,50.0,137.0,224.0,
 Colonia Lomas de Oblatos 1a Secc,44720,2300000.0,3.0,2.0,2.0,2.0,0.0,160.0,150.0,
 Colonia Rojas Ladrón de Guevara,44650,14800000.0,8.0,6.0,4.0,3.0,47.0,400.0,464.0,
 Colonia Jardines de los Arcos,44500,4950000.0,4.0,2.0,2.0,1.0,5.0,285.0,228.0,
 Colonia Americana,44160,65000000.0,10.0,6.0,7.0,3.0,40.0,1000.0,1000.0,
 Colonia Parques Del Nilo,44820,1505977.0,3.0,2.0,1.0,0.0,,,,
 Colonia Higuerillas 2a Secc,44470,790000.0,3.0,2.0,1.0,2.0,0.0,115.0,195.0,20.0
 Colonia Higuerillas 2a Secc,44470,790000.0,3.0,2.0,1.0,2.0,0.0,115.0,195.0,20.0
 Colonia Residencial Chapalita,44500,16000000.0,9.0,4.0,2.0,0.0,546.0,851.0,,
 Colonia Parques Del Nilo,44820,680000.0,3.0,2.0,1.0,2.0,0.0,76.0,84.0,
 Colonia Vallarta Poniente,44110,9400000.0,4.0,4.0,4.0,0.0,508.0,355.0,,
 Colonia Santa Elena Alcalde Poniente,44220,6800000.0,4.0,5.0,2.0,2.0,0.0,205.0,292.0,
 Colonia Lomas de Polanco,44960,2950000.0,4.0,3.0,3.0,3.0,0.0,150.0,310.0,
 Colonia Palacio de Gobierno Del Estado de Jalisco,44009,415835.0,4.0,2.0,1.0,1.0,0.0,365.0,365.0,
 Colonia El Sauz INFONAVIT,44987,2200000.0,3.0,1.0,1.0,11.0,72.0,94.0,,
 Colonia Jardines del Bosque Norte,44520,6300000.0,6.0,4.0,2.0,2.0,23.0,216.0,260.0,
 Colonia Huentitán El Alto,44390,3490000.0,4.0,2.0,1.0,31.0,163.0,225.0,,
 Colonia Bosques de La Victoria,44540,11500000.0,5.0,4.0,3.0,2.0,0.0,360.0,280.0,60.0
 Colonia Circunvalación Oblatos,44716,1811810.0,3.0,3.0,1.0,1.0,0.0,120.0,120.0,
 Colonia Villas de Guadalupe,44720,743000.0,1.0,1.0,1.0,0.0,90.0,90.0,,
 Colonia El Retiro,44280,2746000.0,3.0,3.0,2.0,0.0,225.0,225.0,,
 Colonia Lomas de Independencia,44240,507100.0,3.0,2.0,2.0,2.0,0.0,100.0,120.0,
 Colonia Blanco y Cuellar 1ra.,44730,4900000.0,6.0,3.0,1.0,1.0,60.0,400.0,340.0,
 Colonia Colomos Providencia,44660,1677561.0,3.0,2.0,2.0,0.0,150.0,,,
 Colonia Verde Valle,44550,10500000.0,5.0,5.0,4.0,2.0,34.0,453.0,440.0,
 Colonia Bosques de La Victoria,44540,12450000.0,6.0,4.0,6.0,0.0,420.0,410.0,,
 Colonia Jardines de La Cruz 2a. Sección,44950,4100000.0,5.0,3.0,1.0,3.0,34.0,121.0,203.0,
 Colonia Oblatos,44700,6000000.0,5.0,4.0,1.0,0.0,280.0,190.0,,
 Colonia Jardines del Country,44210,750000.0,4.0,4.0,2.0,2.0,0.0,230.0,310.0,
 Colonia Independencia Oriente,44340,3500000.0,6.0,2.0,1.0,2.0,30.0,188.0,237.0,
 Colonia Rinconada Santa Rita,44690,11500000.0,3.0,3.0,2.0,3.0,1.0,257.0,345.0,
 Colonia San Miguel de Huentitán El Alto 2a Secc,44780,5915000.0,4.0,4.0,2.0,2.0,15.0,786.0,721.0,
 Colonia Simón Bolívar,44220,879500.0,3.0,2.0,2.0,0.0,211.0,256.0,,
 Colonia El Mirador,44370,910600.0,3.0,1.0,1.0,0.0,90.0,80.0,,
 Colonia Santa Mónica,44220,2151216.0,3.0,2.0,0.0,180.0,,,,
 Colonia Rojas Ladrón de Guevara,44650,13500000.0,10.0,10.0,4.0,3.0,0.0,400.0,700.0,
 Guadalajara,44660,29900000.0,3.0,5.0,6.0,0.0,700.0,570.0,,
 Colonia Bosques de La Victoria,44540,929880.0,3.0,3.0,2.0,2.0,0.0,300.0,250.0,
 Colonia Libertad,44750,4627000.0,4.0,3.0,2.0,2.0,0.0,242.0,436.0,
 Colonia Joaquín Aarón,44768,425000.0,3.0,2.0,2.0,2.0,19.0,120.0,100.0,
 Colonia Colinas de La Normal,44270,4350000.0,4.0,2.0,1.0,2.0,28.0,119.0,192.0,
 Colonia Jardines del Bosque Norte,44520,10950000.0,4.0,3.0,4.0,2.0,35.0,463.0,593.0,
 Colonia Atlas,44870,6036039.0,0.0,,,,,,,
 Colonia Analco,44450,3099000.0,4.0,3.0,4.0,0.0,224.0,224.0,,
 Colonia Jardines de los Arcos,44500,25950000.0,3.0,3.0,4.0,0.0,1045.0,644.0,,
 Colonia Rinconada Santa Rita,44690,14650000.0,3.0,4.0,4.0,3.0,15.0,333.0,450.0,
 Colonia Jardines del Country,44210,7100000.0,6.0,5.0,2.0,2.0,3.0,180.0,320.0,
 Colonia Blanco y Cuellar 1ra.,44730,1245000.0,3.0,1.0,1.0,0.0,90.0,90.0,,
 Colonia Lomas del Paraíso 2a. Sección,44250,1749000.0,5.0,2.0,1.0,2.0,15.0,121.0,163.0,
 Colonia Jardines Del Sur,44950,612000.0,3.0,2.0,1.0,1.0,17.0,120.0,120.0,
 Colonia Insurgentes 1a Secc,44820,4790000.0,3.0,3.0,2.0,3.0,0.0,150.0,306.0,
 Colonia Providencia 2a Secc,44630,9999000.0,4.0,5.0,4.0,3.0,20.0,244.0,676.0,
 Guadalajara,44190,12800000.0,4.0,3.0,8.0,0.0,485.0,605.0,,
 Colonia Jardines de La Paz Norte,44860,3299000.0,3.0,2.0,1.0,1.0,40.0,122.0,139.0,
 Guadalajara,44630,24000000.0,4.0,4.0,4.0,0.0,700.0,400.0,,
 Colonia Jardines de los Historiadores,44820,4500000.0,3.0,3.0,2.0,2.0,5.0,126.0,134.0,
 Colonia Quinta Velarde,44430,580000.0,2.0,1.0,2.0,1.0,0.0,90.0,100.0,
 Colonia Insurgentes 1a Secc,44820,1281673.0,2.0,2.0,2.0,0.0,200.0,,,
 Colonia Residencial Chapalita,44500,12000000.0,3.0,2.0,2.0,2.0,45.0,362.0,239.0,
 Colonia Independencia,44290,646000.0,3.0,2.0,2.0,2.0,0.0,240.0,292.0,
 Colonia Lafayette,44150,24000000.0,8.0,4.0,7.0,83.0,700.0,650.0,,
 Colonia Colomos Providencia,44660,8800000.0,4.0,3.0,2.0,3.0,0.0,220.0,384.0,
 Colonia Oblatos,44700,5200000.0,9.0,4.0,3.0,56.0,338.0,546.0,,
 Colonia Ferrocarril,44440,1381673.0,2.0,2.0,0.0,113.0,,,,
 Colonia Zona Industrial,44940,1800000.0,4.0,2.0,2.0,1.0,0.0,205.0,161.0,
 Colonia Moderna,44190,6000000.0,5.0,3.0,2.0,1.0,10.0,223.0,270.0,
 Colonia Independencia,44290,510000.0,3.0,2.0,2.0,2.0,10.0,180.0,180.0,
 Guadalajara,44540,12500000.0,5.0,5.0,4.0,31.0,639.0,930.0,,
 Colonia Autocinema,44230,3800000.0,4.0,2.0,1.0,2.0,30.0,147.0,200.0,
 Colonia Circunvalación Oblatos,44716,1811809.0,3.0,2.0,1.0,2.0,0.0,110.0,110.0,
 Colonia Villaseñor,44600,3500000.0,6.0,2.0,1.0,30.0,150.0,,,
 Colonia Guadalupana Sur,44220,720000.0,3.0,3.0,1.0,2.0,0.0,157.0,314.0,
 Colonia Margarita Maza de Juárez,44300,534344.0,2.0,1.0,1.0,0.0,60.0,60.0,,
 Colonia Fraccionamiento Residencial Victoria,44560,11770000.0,7.0,6.0,4.0,2.0,42.0,452.0,486.0,
 Colonia Providencia 2a Secc,44630,7980000.0,3.0,4.0,2.0,2.0,13.0,129.0,230.0,
 Colonia Lomas de Independencia,44240,507100.0,3.0,2.0,2.0,2.0,8.0,100.0,100.0,
 Colonia Residencial La Cruz,44950,612000.0,3.0,2.0,1.0,1.0,0.0,120.0,120.0,
 Colonia Parques Del Nilo,44820,1158563.0,3.0,2.0,1.0,1.0,0.0,80.0,75.0,
 Colonia El Sauz INFONAVIT,44987,4500000.0,3.0,2.0,2.0,0.0,111.0,168.0,,
 Colonia Guadalajara Centro,44100,4500000.0,4.0,3.0,2.0,0.0,238.0,327.0,,
 Juan Salazar #63,44420,1125100.0,4.0,5.0,2.0,2.0,0.0,200.0,350.0,
 Colonia Huentitán El Bajo,44250,5500000.0,3.0,2.0,2.0,2.0,25.0,150.0,320.0,
